timestamp,route_id,route_code,start_location,end_location,distance_km,city,vehicle_count,average_speed,congestion_level,weather,temperature,rainfall
2026-06-01 00:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,53,69,Low,Sunny,33,0
2026-06-01 01:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,32,63,Low,Cloudy,28,0
2026-06-01 02:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,71,54,Low,Sunny,27,0
2026-06-01 03:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,77,52,Low,Cloudy,29,0
2026-06-01 04:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,76,57,Low,Rainy,38,5
2026-06-01 05:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,31,52,Low,Rainy,24,6
2026-06-01 06:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,57,57,Low,Rainy,31,8
2026-06-01 07:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,207,19,High,Sunny,30,0
2026-06-01 08:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,270,21,High,Rainy,26,19
2026-06-01 09:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,269,22,High,Sunny,36,0
2026-06-01 10:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,311,21,High,Cloudy,32,0
2026-06-01 11:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,126,36,Medium,Cloudy,29,0
2026-06-01 12:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,111,38,Medium,Cloudy,26,0
2026-06-01 13:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,141,37,Medium,Rainy,24,5
2026-06-01 14:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,159,39,Medium,Cloudy,35,0
2026-06-01 15:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,137,35,Medium,Sunny,32,0
2026-06-01 16:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,112,39,Medium,Rainy,34,13
2026-06-01 17:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,285,31,High,Rainy,24,9
2026-06-01 18:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,230,19,High,Cloudy,36,0
2026-06-01 19:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,191,22,High,Rainy,29,8
2026-06-01 20:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,291,31,High,Rainy,27,17
2026-06-01 21:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,85,62,Low,Sunny,29,0
2026-06-01 22:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,48,53,Low,Sunny,34,0
2026-06-01 23:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,53,56,Low,Rainy,32,12
2026-06-02 00:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,53,59,Low,Rainy,38,5
2026-06-02 01:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,76,62,Low,Rainy,34,12
2026-06-02 02:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,42,50,Low,Rainy,25,3
2026-06-02 03:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,75,55,Low,Sunny,35,0
2026-06-02 04:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,80,67,Low,Rainy,31,4
2026-06-02 05:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,43,60,Low,Cloudy,26,0
2026-06-02 06:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,42,50,Low,Cloudy,27,0
2026-06-02 07:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,244,28,High,Rainy,32,5
2026-06-02 08:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,215,20,High,Cloudy,27,0
2026-06-02 09:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,227,35,High,Cloudy,34,0
2026-06-02 10:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,308,32,High,Cloudy,38,0
2026-06-02 11:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,130,44,Medium,Sunny,26,0
2026-06-02 12:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,150,39,Medium,Cloudy,30,0
2026-06-02 13:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,140,49,Medium,Rainy,37,5
2026-06-02 14:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,116,36,Medium,Cloudy,26,0
2026-06-02 15:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,166,37,Medium,Cloudy,31,0
2026-06-02 16:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,157,45,Medium,Rainy,26,4
2026-06-02 17:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,214,19,High,Sunny,29,0
2026-06-02 18:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,195,28,High,Rainy,36,2
2026-06-02 19:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,214,28,High,Rainy,25,20
2026-06-02 20:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,312,27,High,Sunny,29,0
2026-06-02 21:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,42,66,Low,Cloudy,37,0
2026-06-02 22:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,89,63,Low,Sunny,27,0
2026-06-02 23:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,37,67,Low,Sunny,37,0
2026-06-03 00:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,37,52,Low,Rainy,33,18
2026-06-03 01:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,31,60,Low,Cloudy,27,0
2026-06-03 02:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,53,57,Low,Rainy,32,2
2026-06-03 03:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,69,60,Low,Sunny,24,0
2026-06-03 04:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,54,52,Low,Sunny,30,0
2026-06-03 05:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,60,69,Low,Sunny,31,0
2026-06-03 06:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,41,53,Low,Rainy,24,17
2026-06-03 07:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,260,35,High,Sunny,35,0
2026-06-03 08:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,194,18,High,Sunny,24,0
2026-06-03 09:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,217,26,High,Sunny,28,0
2026-06-03 10:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,238,19,High,Rainy,30,13
2026-06-03 11:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,123,40,Medium,Rainy,35,16
2026-06-03 12:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,104,45,Medium,Sunny,24,0
2026-06-03 13:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,165,50,Medium,Rainy,30,20
2026-06-03 14:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,162,44,Medium,Cloudy,27,0
2026-06-03 15:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,138,41,Medium,Sunny,34,0
2026-06-03 16:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,100,37,Medium,Sunny,25,0
2026-06-03 17:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,226,33,High,Cloudy,32,0
2026-06-03 18:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,255,32,High,Sunny,30,0
2026-06-03 19:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,254,26,High,Sunny,33,0
2026-06-03 20:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,215,35,High,Cloudy,38,0
2026-06-03 21:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,40,67,Low,Sunny,25,0
2026-06-03 22:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,40,66,Low,Sunny,36,0
2026-06-03 23:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,80,53,Low,Cloudy,27,0
2026-06-04 00:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,41,61,Low,Cloudy,38,0
2026-06-04 01:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,51,54,Low,Rainy,32,15
2026-06-04 02:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,82,59,Low,Cloudy,26,0
2026-06-04 03:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,32,58,Low,Cloudy,37,0
2026-06-04 04:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,53,52,Low,Cloudy,26,0
2026-06-04 05:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,30,66,Low,Cloudy,30,0
2026-06-04 06:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,71,62,Low,Rainy,32,18
2026-06-04 07:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,183,22,High,Cloudy,31,0
2026-06-04 08:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,294,33,High,Sunny,26,0
2026-06-04 09:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,301,25,High,Sunny,30,0
2026-06-04 10:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,289,19,High,Sunny,38,0
2026-06-04 11:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,111,50,Medium,Sunny,24,0
2026-06-04 12:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,119,48,Medium,Rainy,28,19
2026-06-04 13:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,104,43,Medium,Cloudy,25,0
2026-06-04 14:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,121,35,Medium,Cloudy,38,0
2026-06-04 15:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,174,35,Medium,Sunny,36,0
2026-06-04 16:00:00,1,R001,Chennai Central,Tambaram,28.5,Chennai,130,47,Medium,Sunny,30,0
